mean,lb,ub,survival,sig,dotColor1,dotColor2,dotColor
0.0,0.0,0.0,0,0,0,1,0
-0.3251836935748471,-0.32518369357485055,-0.32518369357485055,1,1,1,2,2
0.007614664139057572,0.007614664139057464,0.007614664139057464,1,1,1,2,2
0.0,0.0,0.0,0,0,0,1,0
-7.771077799847488,-7.771077799847628,-7.771077799847628,1,1,1,2,2
0.0,0.0,0.0,0,0,0,1,0
0.0,0.0,0.0,0,0,0,1,0
0.09480397305546741,0.09480397305546948,0.09480397305546948,1,1,1,2,2
0.0,0.0,0.0,0,0,0,1,0
0.0,0.0,0.0,0,0,0,1,0
0.0,0.0,0.0,0,0,0,1,0
0.2126494670710803,0.2126494670710772,0.2126494670710772,1,1,1,2,2
0.1498390182797777,0.14983901827977691,0.14983901827977691,1,1,1,2,2
-0.012140520900457445,-0.01214052090045732,-0.01214052090045732,1,1,1,2,2
